GP1;The goal of the model that is going to be trained should be considered when selecting the most appropriate metrics for assessing the model performance.
GP2;It is important to identify the needs/requirements of model retraining.
GP3;If an ML model is published as a cloud service, specifically, when a classification/prediction task uses ML cloud-based services, it is important to define the use case and the model requirements in order to identify how frequently the service should be invoked.
GP4;When using probabilistic forecasting in a decision system, it is necessary to decouple the probabilistic model optimization from the probability threshold selection.
GP5;The distribution of the training data should reflect the real distribution.
GP6;"If a model is expected to detect ""something"" in an image, then representative examples of that ""something"" should be present in the training and testing data."
GP7;When measuring a dataset size it should not be done only by referring to storage space but also in terms of rows and columns.
GP8;If it is required to augment the number of instances in the negative class, preexisting datasets could be used for including more instances in the dataset.
GP9;The images that are going to be used as instances of the negative class should have some common characteristics with the positive ones.
GP10;The minimum size of the object that is going to be detected should be present in the data that is going to be used for training the model.
GP11;The object region of interest (ROI) should have a similar aspect ratio in all the positive images.
GP12;For each possible attribute/column in a dataset, we should identify its type before applying any pre-processing technique.
GP13;It should be determined what variables are dependent and what ones are independent.
GP14;When analyzing time series/temporal data, possible temporal trends should be identified.
GP15;When analyzing time series/temporal data, weird trends should be identified.
GP16;It is needed to identify missing values and their nature before doing any pre-processing.
GP17;Before applying any pre-processing technique, potential errors in data should be identified.
GP18;If correlation between existing features and instances of geographical data are needed, then, geographical data should be clustered.
GP19;For improving model performance with a dataset that has a categorical feature, the data should be split by each category.
GP20;If it is needed to optimize hyper-parameters, the dataset should be split into training, validation and test sets in order to prevent overfitting and avoid biased computing metrics.
GP21;"In order to prevent overfitting and avoid biased metrics when optimizing, the whole dataset should be divided into trainand test; then, the training data should be divided into folds for cross-validation"
GP22;The size of a dataset should be only calcuated after the data pre-processing.
GP23;If an imputation technique is used, the same technique should be used in the training, validation and testing sets.
GP24;When having an unbalanced dataset, balancing the datashould be done only in the training dataset.
GP25;Oversampling should be done only after the whole dataset is split into train, validation and test sets.
GP26;When undersampling data, the samples that are being selected should be randomly sampled.
GP27;Transformation of numerical data should be done in all the sets by using the statistics computed on the training data.
GP28;Transformations should take into account (i) the model that is going to be used and (ii) the data nature.
GP29;Features/attributes should be scaled when using a support vector machine (SVM) model.
GP30;When transforming numerical data into ratios and the transformation leads to infinite values, smoothing should be used.
GP31;if an algorithm does not support categorical data, this type of feature should be encoded into multiple binary features or by counting frequencies.
GP32;Datetime data could be partitioned into their corresponding components (e.g., if you have day-month-year then split it into day, month, year).
GP33;Data augmentation should be used in order to prevent over-fitting.
GP34;For analyzing handwritten text images, the image should be split into individual characters.
GP35;If the task of a model is detecting objects, then each region of interest (ROI) should be cropped instead of using the complete image.
GP36;When handling geographical data and the latitude and longitude will be transformed, directional statistics should be used to deal with potential interdependence of latitude and longitude, and with scales wrapping around.
GP37;When handling geographical data, the geodesic distance should be used to compute the distance between two points of interest.
GP38;If a variable is dependable on time along with other features,then, the timeseries variable could be encoded as frequencies.
GP39;When encoding geographical data, Sine and Cosine facets could be used for representing the cyclical characteristics from date time features.
GP40;If noise is present in a dataset, then, it should be removed,with techniques such as smoothing.
GP41;If rectified linear unit (ReLU) is being used as an activation function in NeuralNetworks (NN), then, the features should be scaled.
